alert_id,alert_type,acct_id,acct_name,is_sar,model_id,start,end,schedule_id,bank_id
0,fan_in,81,81,True,2,0,1000000,2,bank_a
0,fan_in,99,99,True,2,0,1000000,2,bank_a
0,fan_in,41,41,True,2,0,1000000,2,bank_a
1,fan_in,58,58,True,2,0,1000000,2,bank_a
1,fan_in,92,92,True,2,0,1000000,2,bank_a
1,fan_in,45,45,True,2,0,1000000,2,bank_a
2,fan_in,40,40,True,2,0,1000000,2,bank_a
2,fan_in,9,9,True,2,0,1000000,2,bank_a
2,fan_in,29,29,True,2,0,1000000,2,bank_a
2,fan_in,21,21,True,2,0,1000000,2,bank_a
3,fan_in,77,77,True,2,0,1000000,2,bank_a
3,fan_in,42,42,True,2,0,1000000,2,bank_a
3,fan_in,49,49,True,2,0,1000000,2,bank_a
3,fan_in,50,50,True,2,0,1000000,2,bank_a
4,fan_in,47,47,True,2,0,1000000,2,bank_a
4,fan_in,69,69,True,2,0,1000000,2,bank_a
4,fan_in,62,62,True,2,0,1000000,2,bank_a
5,fan_in,56,56,True,2,0,1000000,2,bank_a
5,fan_in,93,93,True,2,0,1000000,2,bank_a
5,fan_in,57,57,True,2,0,1000000,2,bank_a
6,fan_in,37,37,True,2,0,1000000,2,bank_a
6,fan_in,80,80,True,2,0,1000000,2,bank_a
6,fan_in,86,86,True,2,0,1000000,2,bank_a
6,fan_in,84,84,True,2,0,1000000,2,bank_a
7,fan_in,12,12,True,2,0,1000000,2,bank_a
7,fan_in,73,73,True,2,0,1000000,2,bank_a
7,fan_in,66,66,True,2,0,1000000,2,bank_a
8,fan_in,43,43,True,2,0,1000000,2,bank_a
8,fan_in,25,25,True,2,0,1000000,2,bank_a
8,fan_in,28,28,True,2,0,1000000,2,bank_a
8,fan_in,34,34,True,2,0,1000000,2,bank_a
9,fan_in,64,64,True,2,0,1000000,2,bank_a
9,fan_in,97,97,True,2,0,1000000,2,bank_a
9,fan_in,14,14,True,2,0,1000000,2,bank_a
10,cycle,59,59,True,3,0,1000000,2,bank_a
10,cycle,96,96,True,3,0,1000000,2,bank_a
10,cycle,60,60,True,3,0,1000000,2,bank_a
10,cycle,91,91,True,3,0,1000000,2,bank_a
11,cycle,85,85,True,3,0,1000000,2,bank_a
11,cycle,0,0,True,3,0,1000000,2,bank_a
11,cycle,13,13,True,3,0,1000000,2,bank_a
11,cycle,2,2,True,3,0,1000000,2,bank_a
12,cycle,23,23,True,3,0,1000000,2,bank_a
12,cycle,51,51,True,3,0,1000000,2,bank_a
12,cycle,76,76,True,3,0,1000000,2,bank_a
12,cycle,53,53,True,3,0,1000000,2,bank_a
13,cycle,30,30,True,3,0,1000000,2,bank_a
13,cycle,67,67,True,3,0,1000000,2,bank_a
13,cycle,22,22,True,3,0,1000000,2,bank_a
14,cycle,55,55,True,3,0,1000000,2,bank_a
14,cycle,44,44,True,3,0,1000000,2,bank_a
14,cycle,3,3,True,3,0,1000000,2,bank_a
14,cycle,82,82,True,3,0,1000000,2,bank_a
15,cycle,11,11,True,3,0,1000000,2,bank_a
15,cycle,54,54,True,3,0,1000000,2,bank_a
15,cycle,5,5,True,3,0,1000000,2,bank_a
16,cycle,24,24,True,3,0,1000000,2,bank_a
16,cycle,68,68,True,3,0,1000000,2,bank_a
16,cycle,98,98,True,3,0,1000000,2,bank_a
16,cycle,48,48,True,3,0,1000000,2,bank_a
17,cycle,63,63,True,3,0,1000000,2,bank_a
17,cycle,52,52,True,3,0,1000000,2,bank_a
17,cycle,36,36,True,3,0,1000000,2,bank_a
17,cycle,19,19,True,3,0,1000000,2,bank_a
18,cycle,31,31,True,3,0,1000000,2,bank_a
18,cycle,17,17,True,3,0,1000000,2,bank_a
18,cycle,88,88,True,3,0,1000000,2,bank_a
19,cycle,7,7,True,3,0,1000000,2,bank_a
19,cycle,35,35,True,3,0,1000000,2,bank_a
19,cycle,78,78,True,3,0,1000000,2,bank_a
19,cycle,16,16,True,3,0,1000000,2,bank_a
