alert_id,alert_type,acct_id,acct_name,is_sar,model_id,start,end,schedule_id,bank_id
0,fan_in,36,36,True,2,0,1000000,2,bank_a
0,fan_in,107,107,True,2,0,1000000,2,bank_b
0,fan_in,101,101,True,2,0,1000000,2,bank_b
0,fan_in,104,104,True,2,0,1000000,2,bank_b
0,fan_in,168,168,True,2,0,1000000,2,bank_b
1,fan_in,22,22,True,2,0,1000000,2,bank_a
1,fan_in,137,137,True,2,0,1000000,2,bank_b
1,fan_in,140,140,True,2,0,1000000,2,bank_b
1,fan_in,178,178,True,2,0,1000000,2,bank_b
1,fan_in,174,174,True,2,0,1000000,2,bank_b
1,fan_in,170,170,True,2,0,1000000,2,bank_b
1,fan_in,135,135,True,2,0,1000000,2,bank_b
1,fan_in,132,132,True,2,0,1000000,2,bank_b
1,fan_in,126,126,True,2,0,1000000,2,bank_b
2,fan_in,10,10,True,2,0,1000000,2,bank_a
2,fan_in,175,175,True,2,0,1000000,2,bank_b
2,fan_in,193,193,True,2,0,1000000,2,bank_b
2,fan_in,114,114,True,2,0,1000000,2,bank_b
2,fan_in,127,127,True,2,0,1000000,2,bank_b
2,fan_in,131,131,True,2,0,1000000,2,bank_b
2,fan_in,133,133,True,2,0,1000000,2,bank_b
3,fan_in,17,17,True,2,0,1000000,2,bank_a
3,fan_in,288,288,True,2,0,1000000,2,bank_c
3,fan_in,214,214,True,2,0,1000000,2,bank_c
3,fan_in,350,350,True,2,0,1000000,2,bank_c
3,fan_in,222,222,True,2,0,1000000,2,bank_c
4,fan_in,16,16,True,2,0,1000000,2,bank_a
4,fan_in,115,115,True,2,0,1000000,2,bank_b
4,fan_in,139,139,True,2,0,1000000,2,bank_b
4,fan_in,148,148,True,2,0,1000000,2,bank_b
4,fan_in,144,144,True,2,0,1000000,2,bank_b
4,fan_in,184,184,True,2,0,1000000,2,bank_b
5,cycle,290,290,True,3,0,1000000,2,bank_c
5,cycle,247,247,True,3,0,1000000,2,bank_c
5,cycle,119,119,True,3,0,1000000,2,bank_b
5,cycle,145,145,True,3,0,1000000,2,bank_b
5,cycle,9,9,True,3,0,1000000,2,bank_a
5,cycle,60,60,True,3,0,1000000,2,bank_a
5,cycle,40,40,True,3,0,1000000,2,bank_a
6,cycle,299,299,True,3,0,1000000,2,bank_c
6,cycle,234,234,True,3,0,1000000,2,bank_c
6,cycle,156,156,True,3,0,1000000,2,bank_b
6,cycle,129,129,True,3,0,1000000,2,bank_b
6,cycle,45,45,True,3,0,1000000,2,bank_a
6,cycle,80,80,True,3,0,1000000,2,bank_a
6,cycle,20,20,True,3,0,1000000,2,bank_a
7,cycle,268,268,True,3,0,1000000,2,bank_c
7,cycle,264,264,True,3,0,1000000,2,bank_c
7,cycle,165,165,True,3,0,1000000,2,bank_b
7,cycle,160,160,True,3,0,1000000,2,bank_b
7,cycle,27,27,True,3,0,1000000,2,bank_a
7,cycle,43,43,True,3,0,1000000,2,bank_a
8,cycle,331,331,True,3,0,1000000,2,bank_c
8,cycle,345,345,True,3,0,1000000,2,bank_c
8,cycle,106,106,True,3,0,1000000,2,bank_b
8,cycle,108,108,True,3,0,1000000,2,bank_b
8,cycle,138,138,True,3,0,1000000,2,bank_b
8,cycle,96,96,True,3,0,1000000,2,bank_a
8,cycle,56,56,True,3,0,1000000,2,bank_a
8,cycle,57,57,True,3,0,1000000,2,bank_a
9,cycle,275,275,True,3,0,1000000,2,bank_c
9,cycle,369,369,True,3,0,1000000,2,bank_c
9,cycle,147,147,True,3,0,1000000,2,bank_b
9,cycle,112,112,True,3,0,1000000,2,bank_b
9,cycle,39,39,True,3,0,1000000,2,bank_a
9,cycle,49,49,True,3,0,1000000,2,bank_a
9,cycle,52,52,True,3,0,1000000,2,bank_a
